Date;NAAIM Number;;;;;;;;;;;;;;;;;;;;;;;;
12/2/2020;86,08;;;;;;;;;;;;;;;;;;;;;;;;
19/2/2020;87,91;;;;;;;;;;;;;;;;;;;;;;;;
26/2/2020;65,03;;;;;;;;;;;;;;;;;;;;;;;;
4/3/2020;29,03;;;;;;;;;;;;;;;;;;;;;;;;
11/3/2020;16,59;;;;;;;;;;;;;;;;;;;;;;;;
18/3/2020;10,65;;;;;;;;;;;;;;;;;;;;;;;;
25/3/2020;25,87;;;;;;;;;;;;;;;;;;;;;;;;
1/4/2020;23,67;;;;;;;;;;;;;;;;;;;;;;;;
8/4/2020;26,74;;;;;;;;;;;;;;;;;;;;;;;;
15/4/2020;28,71;;;;;;;;;;;;;;;;;;;;;;;;
22/4/2020;45,34;;;;;;;;;;;;;;;;;;;;;;;;
29/4/2020;78,55;;;;;;;;;;;;;;;;;;;;;;;;
6/5/2020;67,95;;;;;;;;;;;;;;;;;;;;;;;;
13/5/2020;57,71;;;;;;;;;;;;;;;;;;;;;;;;
20/5/2020;63,22;;;;;;;;;;;;;;;;;;;;;;;;
27/5/2020;81,65;;;;;;;;;;;;;;;;;;;;;;;;
3/6/2020;91,6;;;;;;;;;;;;;;;;;;;;;;;;
10/6/2020;77,48;;;;;;;;;;;;;;;;;;;;;;;;
17/6/2020;88,25;;;;;;;;;;;;;;;;;;;;;;;;
24/6/2020;76,57;;;;;;;;;;;;;;;;;;;;;;;;
1/7/2020;71,47;;;;;;;;;;;;;;;;;;;;;;;;
8/7/2020;85,09;;;;;;;;;;;;;;;;;;;;;;;;
15/7/2020;90,53;;;;;;;;;;;;;;;;;;;;;;;;
22/7/2020;97,88;;;;;;;;;;;;;;;;;;;;;;;;
29/7/2020;97,44;;;;;;;;;;;;;;;;;;;;;;;;
5/8/2020;94,55;;;;;;;;;;;;;;;;;;;;;;;;
12/8/2020;101,2;;;;;;;;;;;;;;;;;;;;;;;;
19/8/2020;100,13;;;;;;;;;;;;;;;;;;;;;;;;
26/8/2020;106,56;;;;;;;;;;;;;;;;;;;;;;;;
2/9/2020;94,71;;;;;;;;;;;;;;;;;;;;;;;;
9/9/2020;53,09;;;;;;;;;;;;;;;;;;;;;;;;
16/9/2020;59,3;;;;;;;;;;;;;;;;;;;;;;;;
23/9/2020;55,3;;;;;;;;;;;;;;;;;;;;;;;;
30/9/2020;58,25;;;;;;;;;;;;;;;;;;;;;;;;
7/10/2020;73,05;;;;;;;;;;;;;;;;;;;;;;;;
14/10/2020;102,93;;;;;;;;;;;;;;;;;;;;;;;;
21/10/2020;87,07;;;;;;;;;;;;;;;;;;;;;;;;
28/10/2020;77,87;;;;;;;;;;;;;;;;;;;;;;;;
4/11/2020;69,2;;;;;;;;;;;;;;;;;;;;;;;;
11/11/2020;96,3;;;;;;;;;;;;;;;;;;;;;;;;
18/11/2020;106,41;;;;;;;;;;;;;;;;;;;;;;;;
25/11/2020;106,74;;;;;;;;;;;;;;;;;;;;;;;;
2/12/2020;103,17;;;;;;;;;;;;;;;;;;;;;;;;
9/12/2020;106,11;;;;;;;;;;;;;;;;;;;;;;;;
16/12/2020;101,47;;;;;;;;;;;;;;;;;;;;;;;;
23/12/2020;89,11;;;;;;;;;;;;;;;;;;;;;;;;
30/12/2020;82,97;;;;;;;;;;;;;;;;;;;;;;;;
6/1/2021;94,51;;;;;;;;;;;;;;;;;;;;;;;;
13/1/2021;106,76;;;;;;;;;;;;;;;;;;;;;;;;
20/1/2021;112,93;;;;;;;;;;;;;;;;;;;;;;;;
27/1/2021;83,51;;;;;;;;;;;;;;;;;;;;;;;;
3/2/2021;79,15;;;;;;;;;;;;;;;;;;;;;;;;
10/2/2021;110,28;;;;;;;;;;;;;;;;;;;;;;;;
17/2/2021;108,32;;;;;;;;;;;;;;;;;;;;;;;;
24/2/2021;84,99;;;;;;;;;;;;;;;;;;;;;;;;
3/3/2021;65,37;;;;;;;;;;;;;;;;;;;;;;;;
10/3/2021;48,62;;;;;;;;;;;;;;;;;;;;;;;;
17/3/2021;78,55;;;;;;;;;;;;;;;;;;;;;;;;
24/3/2021;57,52;;;;;;;;;;;;;;;;;;;;;;;;
31/3/2021;52,02;;;;;;;;;;;;;;;;;;;;;;;;
7/4/2021;89,95;;;;;;;;;;;;;;;;;;;;;;;;
14/4/2021;96,57;;;;;;;;;;;;;;;;;;;;;;;;
21/4/2021;95,6;;;;;;;;;;;;;;;;;;;;;;;;
28/4/2021;103,72;;;;;;;;;;;;;;;;;;;;;;;;
5/5/2021;87,79;;;;;;;;;;;;;;;;;;;;;;;;
12/5/2021;46,86;;;;;;;;;;;;;;;;;;;;;;;;
19/5/2021;44,21;;;;;;;;;;;;;;;;;;;;;;;;
26/5/2021;68,3;;;;;;;;;;;;;;;;;;;;;;;;
2/6/2021;82,27;;;;;;;;;;;;;;;;;;;;;;;;
9/6/2021;79,65;;;;;;;;;;;;;;;;;;;;;;;;
16/6/2021;98,52;;;;;;;;;;;;;;;;;;;;;;;;
23/6/2021;70,86;;;;;;;;;;;;;;;;;;;;;;;;
30/6/2021;91,72;;;;;;;;;;;;;;;;;;;;;;;;
7/7/2021;82,54;;;;;;;;;;;;;;;;;;;;;;;;
14/7/2021;93,27;;;;;;;;;;;;;;;;;;;;;;;;
21/7/2021;71,04;;;;;;;;;;;;;;;;;;;;;;;;
28/7/2021;78,39;;;;;;;;;;;;;;;;;;;;;;;;
4/8/2021;97,72;;;;;;;;;;;;;;;;;;;;;;;;
11/8/2021;97,55;;;;;;;;;;;;;;;;;;;;;;;;
18/8/2021;70,57;;;;;;;;;;;;;;;;;;;;;;;;
25/8/2021;92,83;;;;;;;;;;;;;;;;;;;;;;;;
1/9/2021;93,95;;;;;;;;;;;;;;;;;;;;;;;;
8/9/2021;84,68;;;;;;;;;;;;;;;;;;;;;;;;
15/9/2021;87,02;;;;;;;;;;;;;;;;;;;;;;;;
22/9/2021;77,7;;;;;;;;;;;;;;;;;;;;;;;;
29/9/2021;55,02;;;;;;;;;;;;;;;;;;;;;;;;
6/10/2021;68,6;;;;;;;;;;;;;;;;;;;;;;;;
13/10/2021;64,46;;;;;;;;;;;;;;;;;;;;;;;;
20/10/2021;98,02;;;;;;;;;;;;;;;;;;;;;;;;
27/10/2021;103,35;;;;;;;;;;;;;;;;;;;;;;;;
3/11/2021;107,99;;;;;;;;;;;;;;;;;;;;;;;;
10/11/2021;103,69;;;;;;;;;;;;;;;;;;;;;;;;
17/11/2021;102,54;;;;;;;;;;;;;;;;;;;;;;;;
24/11/2021;103,14;;;;;;;;;;;;;;;;;;;;;;;;
1/12/2021;87,87;;;;;;;;;;;;;;;;;;;;;;;;
8/12/2021;69,46;;;;;;;;;;;;;;;;;;;;;;;;
15/12/2021;52,22;;;;;;;;;;;;;;;;;;;;;;;;
22/12/2021;67,02;;;;;;;;;;;;;;;;;;;;;;;;
29/12/2021;85,71;;;;;;;;;;;;;;;;;;;;;;;;
5/1/2022;89,54;;;;;;;;;;;;;;;;;;;;;;;;
12/1/2022;74,78;;;;;;;;;;;;;;;;;;;;;;;;
19/1/2022;56,73;;;;;;;;;;;;;;;;;;;;;;;;
26/1/2022;53,39;;;;;;;;;;;;;;;;;;;;;;;;
2/2/2022;62,54;;;;;;;;;;;;;;;;;;;;;;;;
9/2/2022;66,8;;;;;;;;;;;;;;;;;;;;;;;;
16/2/2022;53,49;;;;;;;;;;;;;;;;;;;;;;;;
23/2/2022;44,41;;;;;;;;;;;;;;;;;;;;;;;;
2/3/2022;30,3;;;;;;;;;;;;;;;;;;;;;;;;
9/3/2022;42,58;;;;;;;;;;;;;;;;;;;;;;;;
16/3/2022;46,68;;;;;;;;;;;;;;;;;;;;;;;;
23/3/2022;52,69;;;;;;;;;;;;;;;;;;;;;;;;
30/3/2022;79,72;;;;;;;;;;;;;;;;;;;;;;;;
6/4/2022;83,41;;;;;;;;;;;;;;;;;;;;;;;;
13/4/2022;63,29;;;;;;;;;;;;;;;;;;;;;;;;
20/4/2022;74,05;;;;;;;;;;;;;;;;;;;;;;;;
27/4/2022;46,25;;;;;;;;;;;;;;;;;;;;;;;;
4/5/2022;31,76;;;;;;;;;;;;;;;;;;;;;;;;
11/5/2022;24,31;;;;;;;;;;;;;;;;;;;;;;;;
18/5/2022;19,51;;;;;;;;;;;;;;;;;;;;;;;;
25/5/2022;33,19;;;;;;;;;;;;;;;;;;;;;;;;
1/6/2022;34,33;;;;;;;;;;;;;;;;;;;;;;;;
8/6/2022;50;;;;;;;;;;;;;;;;;;;;;;;;
15/6/2022;32,18;;;;;;;;;;;;;;;;;;;;;;;;
22/6/2022;18,86;;;;;;;;;;;;;;;;;;;;;;;;
29/6/2022;30,66;;;;;;;;;;;;;;;;;;;;;;;;
6/7/2022;27,85;;;;;;;;;;;;;;;;;;;;;;;;
13/7/2022;26,74;;;;;;;;;;;;;;;;;;;;;;;;
20/7/2022;44,48;;;;;;;;;;;;;;;;;;;;;;;;
27/7/2022;47,21;;;;;;;;;;;;;;;;;;;;;;;;
3/8/2022;55,28;;;;;;;;;;;;;;;;;;;;;;;;
10/8/2022;71,59;;;;;;;;;;;;;;;;;;;;;;;;
17/8/2022;64,44;;;;;;;;;;;;;;;;;;;;;;;;
24/8/2022;54,86;;;;;;;;;;;;;;;;;;;;;;;;
31/8/2022;32,36;;;;;;;;;;;;;;;;;;;;;;;;
7/9/2022;27,33;;;;;;;;;;;;;;;;;;;;;;;;
14/9/2022;33,86;;;;;;;;;;;;;;;;;;;;;;;;
21/9/2022;29,59;;;;;;;;;;;;;;;;;;;;;;;;
28/9/2022;12,61;;;;;;;;;;;;;;;;;;;;;;;;
5/10/2022;38,11;;;;;;;;;;;;;;;;;;;;;;;;
12/10/2022;19,84;;;;;;;;;;;;;;;;;;;;;;;;
19/10/2022;43,28;;;;;;;;;;;;;;;;;;;;;;;;
26/10/2022;53,91;;;;;;;;;;;;;;;;;;;;;;;;
2/11/2022;55,22;;;;;;;;;;;;;;;;;;;;;;;;
9/11/2022;53,33;;;;;;;;;;;;;;;;;;;;;;;;
16/11/2022;64,96;;;;;;;;;;;;;;;;;;;;;;;;
