Date;Bullish
15/5/2014;33,12%
22/5/2014;30,43%
29/5/2014;36,46%
5/6/2014;39,51%
12/6/2014;44,69%
19/6/2014;35,17%
26/6/2014;37,22%
3/7/2014;38,51%
10/7/2014;37,64%
17/7/2014;32,36%
24/7/2014;29,63%
31/7/2014;31,12%
7/8/2014;30,89%
14/8/2014;39,81%
21/8/2014;46,11%
28/8/2014;51,92%
4/9/2014;44,67%
11/9/2014;40,38%
18/9/2014;42,24%
25/9/2014;41,84%
2/10/2014;35,42%
9/10/2014;39,88%
16/10/2014;42,66%
23/10/2014;49,69%
30/10/2014;49,37%
6/11/2014;52,69%
13/11/2014;57,93%
20/11/2014;49,12%
27/11/2014;52,15%
4/12/2014;42,68%
11/12/2014;45,02%
18/12/2014;38,74%
25/12/2014;50,94%
1/1/2015;51,74%
8/1/2015;41,01%
15/1/2015;46,11%
22/1/2015;37,14%
29/1/2015;44,17%
5/2/2015;35,49%
12/2/2015;40,00%
19/2/2015;47,02%
26/2/2015;45,37%
5/3/2015;39,80%
12/3/2015;31,60%
19/3/2015;27,16%
26/3/2015;38,43%
2/4/2015;35,40%
9/4/2015;28,70%
16/4/2015;32,07%
23/4/2015;31,47%
30/4/2015;30,84%
7/5/2015;27,06%
14/5/2015;26,74%
21/5/2015;25,21%
28/5/2015;27,00%
4/6/2015;27,34%
11/6/2015;20,04%
18/6/2015;25,41%
25/6/2015;35,56%
2/7/2015;22,61%
9/7/2015;27,91%
16/7/2015;30,81%
23/7/2015;32,54%
30/7/2015;21,11%
6/8/2015;24,32%
13/8/2015;30,45%
20/8/2015;26,82%
27/8/2015;32,50%
3/9/2015;32,38%
10/9/2015;34,65%
17/9/2015;33,26%
24/9/2015;32,12%
1/10/2015;28,11%
8/10/2015;37,52%
15/10/2015;34,08%
22/10/2015;34,77%
29/10/2015;40,39%
5/11/2015;39,00%
12/11/2015;34,27%
19/11/2015;30,77%
26/11/2015;32,36%
3/12/2015;29,49%
10/12/2015;28,51%
17/12/2015;23,87%
24/12/2015;26,38%
31/12/2015;25,07%
7/1/2016;22,17%
14/1/2016;17,90%
21/1/2016;21,52%
28/1/2016;29,75%
4/2/2016;27,55%
11/2/2016;19,24%
18/2/2016;27,56%
25/2/2016;31,19%
3/3/2016;32,02%
10/3/2016;37,36%
17/3/2016;29,96%
24/3/2016;33,78%
31/3/2016;27,18%
7/4/2016;32,19%
14/4/2016;27,85%
21/4/2016;33,41%
28/4/2016;27,37%
5/5/2016;22,33%
12/5/2016;20,41%
19/5/2016;19,34%
